Physician Name,Hospital Name,Detailed Region,Procedure,Number of Cases,Number of Deaths,Observed Mortality Rate,Expected Mortality Rate
Bennett E,Albany Medical Center,Capital District,CABG,24,0,0,1.07
Britton L,Albany Medical Center,Capital District,CABG,264,1,0.38,1.44
Depan H,Albany Medical Center,Capital District,CABG,204,2,0.98,1.55
Miller S,Albany Medical Center,Capital District,CABG,250,5,2,1.46
Bennett E,Albany Medical Center,Capital District,Valve or Valve/CABG,83,2,2.41,2.57
Britton L,Albany Medical Center,Capital District,Valve or Valve/CABG,433,10,2.31,2.27
Depan H,Albany Medical Center,Capital District,Valve or Valve/CABG,343,5,1.46,2.64
Miller S,Albany Medical Center,Capital District,Valve or Valve/CABG,397,9,2.27,2.55
Nast E,Arnot Ogden Med Ctr,Western NY - Rochester,CABG,155,1,0.65,1.38
Raudat C W,Arnot Ogden Med Ctr,Western NY - Rochester,CABG,146,1,0.68,1.34
Nast E,Arnot Ogden Med Ctr,Western NY - Rochester,Valve or Valve/CABG,218,6,2.75,1.71
Raudat C W,Arnot Ogden Med Ctr,Western NY - Rochester,Valve or Valve/CABG,206,5,2.43,1.77
Balsam L B,Bellevue Hospital Ctr,Manhattan,CABG,138,0,0,1.12
Crooke G,Bellevue Hospital Ctr,Manhattan,CABG,69,0,0,0.8
Culliford A,Bellevue Hospital Ctr,Manhattan,CABG,1,0,0,2.62
Deanda A,Bellevue Hospital Ctr,Manhattan,CABG,83,2,2.41,1.17
Loulmet D F,Bellevue Hospital Ctr,Manhattan,CABG,16,1,6.25,1.57
Ribakove G,Bellevue Hospital Ctr,Manhattan,CABG,29,1,3.45,1.55
Schwartz C F,Bellevue Hospital Ctr,Manhattan,CABG,20,0,0,0.7
Balsam L B,Bellevue Hospital Ctr,Manhattan,Valve or Valve/CABG,255,2,0.78,1.94
Crooke G,Bellevue Hospital Ctr,Manhattan,Valve or Valve/CABG,103,2,1.94,1.95
Culliford A,Bellevue Hospital Ctr,Manhattan,Valve or Valve/CABG,1,0,0,2.62
Deanda A,Bellevue Hospital Ctr,Manhattan,Valve or Valve/CABG,136,5,3.68,2.12
